V1,V2,V3
7,602,720
48,249,1715
154,551,1176
23,645,521
32,1388,3356
217,713,1258
25,829,2503
191,900,846
96,400,1847
127,530,1211
86,2510,4206
148,661,2118
77,713,4221
111,943,1870
34,1074,1456
88,1542,1166
94,730,2735
77,1980,1475
21,1443,1295
70,989,2117
36,1472,3056
105,775,814
131,915,1132
72,1662,695
60,291,3452
39,761,1291
82,1498,1751
141,794,3705
76,444,308
6,1682,2894
49,1215,1163
73,1107,2433
28,1591,3437
78,277,2013
76,501,2401
8,563,2198
122,588,460
13,917,2221
186,359,1958
112,424,5232
42,1210,2997
39,345,2589
36,777,1949
100,1469,5156
89,418,1160
38,540,3851
16,483,5663
75,548,1273
126,1256,1818
153,1001,1168
14,1009,784
43,573,2424
51,1121,2196
202,965,2990
120,801,1630
118,400,3258
89,461,1632
157,1581,1381
64,1275,2795
45,962,1101
106,933,1324
66,1373,1442
115,1606,1450
91,627,7211
92,122,2383
2,808,1503
71,598,2505
134,939,2056
92,358,1939
31,1122,2645
29,1257,663
46,786,1342
71,576,1649
32,1408,929
93,355,3384
72,897,3177
33,1535,2417
59,794,1980
276,736,2954
11,1048,3061
18,1091,4701
136,87,2601
15,667,5686
21,1400,2618
89,438,3605
95,943,6547
77,1008,1272
76,1956,1309
63,2026,3384
226,284,3973
150,316,2670
45,1173,2000
24,732,3986
44,488,2205
21,737,867
51,439,2396
66,493,2132
43,1403,1783
46,768,3084
39,158,2784
8,1470,2478
7,953,3677
41,531,863
86,362,3939
87,269,1492
46,394,1814
29,1030,4339
155,1214,4056
51,1833,405
31,629,1180
205,1046,2526
189,308,2276
224,1245,3010
21,554,1353
11,624,1969
76,959,2480
52,168,2898
37,871,425
52,1221,2644
58,804,5065
79,456,5016
31,438,2628
235,704,1727
59,977,3143
81,1169,734
156,106,3400
17,1274,3308
175,1041,1886
76,1291,3427
109,929,1991
95,2084,2264
57,1340,4599
49,144,4520
20,440,2143
142,622,320
132,1040,1731
90,423,223
62,1629,1595
28,132,856
186,1455,5135
34,230,2635
213,651,1995
33,1029,3657
41,318,2248
178,1903,1562
53,245,1433
28,1857,2944
22,355,1902
16,555,1929
90,374,1959
142,1248,2208
29,174,1320
42,915,976
60,529,1834
165,884,3093
81,2045,1467
164,519,3556
101,928,4757
8,688,1679
70,716,3644
45,164,3249
45,1142,5453
32,1474,929
54,512,916
4,158,4180
78,260,965
102,870,1671
104,789,2530
22,807,3537
39,1749,2181
111,1100,2265
85,1216,2530
49,859,724
5,744,3464
119,231,1037
158,2128,3061
94,892,2629
114,1535,903
71,1018,1329
103,608,3106
20,1367,2308
35,914,1335
60,1911,1159
90,580,2228
100,842,3718
147,1836,1267
94,1295,501
44,1210,2419
75,789,533
36,596,4308
43,672,763
54,939,3263
23,1126,1759
148,1579,1871
4,348,2052
129,798,2626
143,870,235
164,953,979
72,600,1450
50,677,2704
57,2060,4850
69,629,2511
15,1367,1925
40,638,2122
122,650,2442
53,497,755
20,472,2344
139,407,3816
126,1379,316
27,687,3171
99,183,1740
66,1945,1639
93,1087,1175
46,759,3597
93,699,2158
55,1335,5163
8,1242,2301
15,689,2450
192,432,1162
50,1389,3511
63,451,3669
42,517,2655
97,2456,5180
7,1244,2836
171,802,1905
39,545,1474
65,774,2158
107,458,4737
181,1167,568
91,438,3197
78,614,2572
164,535,486
130,553,1191
11,1014,6816
82,959,2494
164,666,1087
16,965,226
29,743,2979
88,239,1344
37,228,2776
31,646,1488
115,32,1831
28,231,3138
28,1352,3233
24,1124,1426
133,593,980
101,1063,833
121,460,3099
106,476,1728
78,883,1327
67,1151,1168
117,264,2430
130,212,3127
32,423,4786
173,173,3015
74,1474,2578
38,449,1880
77,908,2934
153,384,1065
67,1269,852
59,862,3000
128,1414,1116
47,386,2482
163,334,2034
69,485,2305
191,548,1040
57,1072,393
22,884,3438
68,38,1689
60,670,752
84,750,1316
29,1005,868
